name,class,surfaceAreaObj,compactnessObj,rectangularityObj,diameterObj,convexityObj,eccentricityObj,A3,D1,D2,D3,D4
m1609_normalized.obj,Chess,4.8386,0.47298,0.30308,1.90834,0.59288,8.28002,"0.044,0.066,0.062,0.068,0.052,0.057,0.061,0.038,0.042,0.04,0.042,0.033,0.043,0.05,0.043,0.033,0.037,0.028,0.02,0.018,0.019,0.02,0.02,0.011,0.014,0.01,0.006,0.005,0.008,0.01","0.041,0.014,0.017,0.007,0.015,0.027,0.025,0.021,0.041,0.053,0.041,0.111,0.022,0.004,0.024,0.025,0.01,0.038,0.015,0.016,0.017,0.013,0.027,0.019,0.078,0.07,0.053,0.067,0.067,0.022","0.008,0.018,0.03,0.042,0.044,0.047,0.062,0.071,0.06,0.048,0.054,0.062,0.036,0.043,0.036,0.027,0.026,0.034,0.03,0.041,0.044,0.025,0.015,0.014,0.014,0.015,0.017,0.017,0.008,0.012","0.003,0.006,0.012,0.018,0.034,0.041,0.044,0.05,0.053,0.051,0.06,0.067,0.072,0.066,0.065,0.059,0.054,0.05,0.035,0.046,0.025,0.023,0.02,0.015,0.007,0.009,0.001,0.006,0.007,0.001","0.005,0.005,0.011,0.022,0.034,0.03,0.05,0.038,0.049,0.062,0.071,0.071,0.066,0.075,0.052,0.059,0.054,0.045,0.043,0.034,0.027,0.027,0.021,0.016,0.01,0.006,0.004,0.005,0.005,0.003"
m1610_normalized.obj,Chess,4.12982,0.36768,0.23199,1.51196,0.49545,2.80426,"0.024,0.037,0.061,0.067,0.056,0.072,0.065,0.059,0.078,0.056,0.053,0.047,0.055,0.037,0.04,0.024,0.027,0.021,0.022,0.021,0.008,0.01,0.015,0.009,0.012,0.008,0.009,0.004,0.002,0.001","0.026,0.018,0.011,0.001,0.013,0.02,0.099,0.087,0.012,0.006,0.007,0.01,0.083,0.115,0.162,0.076,0.095,0.058,0.008,0.0,0.009,0.005,0.0,0.012,0.01,0.01,0.007,0.009,0.009,0.022","0.004,0.016,0.011,0.016,0.026,0.03,0.046,0.04,0.049,0.05,0.051,0.054,0.063,0.059,0.071,0.069,0.047,0.043,0.031,0.034,0.041,0.032,0.028,0.017,0.018,0.014,0.01,0.011,0.01,0.009","0.003,0.002,0.018,0.017,0.027,0.031,0.047,0.056,0.048,0.061,0.06,0.061,0.071,0.055,0.071,0.054,0.063,0.047,0.043,0.039,0.04,0.017,0.023,0.018,0.014,0.004,0.003,0.003,0.001,0.003","0.002,0.016,0.023,0.022,0.035,0.039,0.038,0.062,0.054,0.064,0.082,0.053,0.06,0.057,0.05,0.065,0.032,0.047,0.037,0.033,0.032,0.022,0.015,0.017,0.017,0.009,0.007,0.006,0.001,0.003"
m1611_normalized.obj,Chess,3.52145,0.51742,0.28143,1.68179,0.52878,8.47746,"0.035,0.077,0.08,0.078,0.074,0.048,0.051,0.035,0.043,0.037,0.042,0.04,0.033,0.044,0.032,0.034,0.034,0.035,0.015,0.018,0.016,0.015,0.019,0.02,0.008,0.009,0.013,0.004,0.007,0.004","0.128,0.047,0.02,0.038,0.056,0.015,0.024,0.034,0.027,0.001,0.06,0.032,0.004,0.042,0.041,0.087,0.062,0.069,0.036,0.0,0.0,0.029,0.0,0.0,0.019,0.028,0.021,0.024,0.014,0.042","0.005,0.016,0.026,0.034,0.045,0.041,0.058,0.074,0.075,0.068,0.07,0.052,0.045,0.031,0.036,0.022,0.02,0.036,0.026,0.035,0.021,0.035,0.027,0.021,0.021,0.019,0.013,0.013,0.013,0.002","0.002,0.006,0.007,0.018,0.032,0.035,0.037,0.055,0.055,0.082,0.088,0.075,0.079,0.063,0.056,0.057,0.052,0.045,0.033,0.028,0.03,0.018,0.015,0.004,0.013,0.007,0.001,0.001,0.005,0.001","0.004,0.002,0.016,0.018,0.028,0.041,0.046,0.038,0.052,0.062,0.061,0.069,0.069,0.063,0.075,0.057,0.042,0.056,0.045,0.029,0.031,0.023,0.017,0.019,0.01,0.011,0.005,0.002,0.006,0.003"
m1612_normalized.obj,Chess,3.08639,0.09923,0.05255,1.81826,0.11177,13.62573,"0.06,0.081,0.082,0.063,0.063,0.042,0.047,0.034,0.031,0.038,0.032,0.037,0.038,0.032,0.035,0.021,0.026,0.022,0.03,0.023,0.018,0.023,0.026,0.019,0.017,0.015,0.011,0.018,0.008,0.008","0.021,0.01,0.011,0.019,0.018,0.021,0.017,0.032,0.134,0.022,0.103,0.009,0.022,0.029,0.037,0.055,0.023,0.029,0.045,0.018,0.041,0.027,0.033,0.023,0.045,0.004,0.014,0.045,0.054,0.039","0.014,0.026,0.037,0.068,0.054,0.074,0.057,0.044,0.049,0.048,0.041,0.046,0.031,0.027,0.039,0.03,0.024,0.026,0.031,0.038,0.039,0.043,0.03,0.014,0.016,0.015,0.007,0.013,0.01,0.009","0.008,0.014,0.022,0.037,0.06,0.046,0.063,0.067,0.064,0.055,0.051,0.073,0.063,0.068,0.063,0.046,0.039,0.028,0.03,0.019,0.016,0.011,0.014,0.013,0.009,0.006,0.005,0.004,0.003,0.003","0.007,0.019,0.019,0.042,0.045,0.054,0.056,0.063,0.075,0.061,0.064,0.062,0.07,0.062,0.054,0.044,0.041,0.038,0.021,0.021,0.019,0.013,0.018,0.013,0.006,0.005,0.004,0.002,0.0,0.002"
m1613_normalized.obj,Chess,3.07187,0.48084,0.23274,1.81114,0.55742,14.1875,"0.07,0.086,0.094,0.073,0.055,0.051,0.036,0.058,0.033,0.026,0.038,0.03,0.026,0.036,0.03,0.033,0.018,0.023,0.02,0.026,0.015,0.015,0.017,0.017,0.015,0.014,0.018,0.015,0.004,0.008","0.044,0.019,0.024,0.015,0.01,0.02,0.016,0.052,0.144,0.025,0.029,0.024,0.008,0.06,0.032,0.036,0.018,0.029,0.014,0.03,0.068,0.033,0.029,0.029,0.02,0.014,0.032,0.052,0.045,0.029","0.012,0.021,0.031,0.057,0.043,0.065,0.065,0.062,0.049,0.06,0.048,0.039,0.029,0.04,0.035,0.016,0.017,0.024,0.029,0.04,0.049,0.047,0.03,0.009,0.011,0.014,0.016,0.024,0.009,0.009","0.001,0.005,0.01,0.016,0.024,0.04,0.047,0.057,0.056,0.065,0.073,0.068,0.072,0.055,0.067,0.054,0.056,0.041,0.038,0.031,0.031,0.026,0.02,0.014,0.013,0.005,0.004,0.001,0.006,0.004","0.007,0.009,0.025,0.031,0.026,0.043,0.069,0.05,0.062,0.07,0.083,0.076,0.071,0.045,0.042,0.058,0.051,0.034,0.034,0.026,0.028,0.021,0.01,0.012,0.007,0.003,0.004,0.0,0.001,0.002"
m1614_normalized.obj,Chess,2.99718,0.45535,0.24282,1.7569,0.38963,12.61017,"0.06,0.078,0.101,0.077,0.045,0.044,0.042,0.026,0.031,0.031,0.038,0.04,0.048,0.039,0.04,0.042,0.025,0.019,0.021,0.023,0.015,0.017,0.017,0.02,0.016,0.012,0.015,0.005,0.011,0.002","0.029,0.028,0.019,0.014,0.068,0.062,0.012,0.018,0.035,0.06,0.014,0.022,0.018,0.016,0.031,0.014,0.026,0.019,0.018,0.031,0.15,0.046,0.003,0.003,0.02,0.004,0.069,0.026,0.043,0.082","0.016,0.012,0.021,0.045,0.038,0.073,0.061,0.051,0.058,0.059,0.056,0.052,0.019,0.024,0.015,0.015,0.02,0.019,0.046,0.04,0.035,0.036,0.021,0.022,0.029,0.019,0.011,0.041,0.034,0.012","0.002,0.01,0.019,0.02,0.024,0.037,0.05,0.048,0.065,0.074,0.056,0.069,0.062,0.045,0.057,0.05,0.057,0.048,0.039,0.034,0.036,0.024,0.021,0.018,0.011,0.006,0.006,0.003,0.005,0.004","0.007,0.008,0.019,0.029,0.029,0.059,0.047,0.051,0.059,0.073,0.056,0.073,0.081,0.063,0.042,0.049,0.047,0.041,0.035,0.037,0.021,0.014,0.017,0.015,0.005,0.01,0.004,0.003,0.002,0.004"
D01001_normalized.obj,City,4.59756,0.0275,0.0393,1.81653,0.10916,17.87777,"0.043,0.064,0.076,0.076,0.068,0.063,0.049,0.041,0.037,0.037,0.033,0.033,0.03,0.039,0.03,0.028,0.032,0.023,0.022,0.022,0.023,0.027,0.015,0.024,0.02,0.017,0.012,0.006,0.005,0.005","0.028,0.071,0.067,0.086,0.102,0.106,0.053,0.036,0.048,0.086,0.084,0.077,0.04,0.031,0.028,0.025,0.018,0.003,0.0,0.003,0.001,0.001,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.002","0.021,0.041,0.053,0.075,0.08,0.094,0.056,0.074,0.059,0.076,0.049,0.047,0.05,0.029,0.04,0.027,0.031,0.016,0.018,0.016,0.022,0.011,0.001,0.005,0.002,0.003,0.0,0.003,0.0,0.001","0.001,0.005,0.03,0.038,0.063,0.077,0.106,0.095,0.091,0.084,0.08,0.081,0.051,0.039,0.035,0.034,0.02,0.028,0.014,0.008,0.006,0.003,0.002,0.001,0.001,0.0,0.002,0.001,0.001,0.003","0.007,0.016,0.028,0.053,0.069,0.078,0.105,0.109,0.101,0.079,0.076,0.045,0.05,0.043,0.033,0.03,0.018,0.015,0.018,0.007,0.004,0.003,0.002,0.004,0.001,0.003,0.002,0.0,0.0,0.001"
D01007_normalized.obj,City,2.301,0.05936,0.03543,1.24913,0.18843,5.63588,"0.032,0.062,0.068,0.058,0.069,0.051,0.047,0.072,0.058,0.069,0.043,0.06,0.033,0.039,0.034,0.027,0.025,0.022,0.022,0.019,0.015,0.013,0.01,0.01,0.007,0.008,0.011,0.006,0.007,0.003","0.006,0.048,0.112,0.173,0.187,0.178,0.125,0.059,0.033,0.033,0.004,0.003,0.003,0.004,0.001,0.001,0.002,0.004,0.003,0.002,0.006,0.001,0.001,0.0,0.002,0.0,0.001,0.007,0.0,0.001","0.019,0.058,0.078,0.117,0.111,0.133,0.126,0.094,0.069,0.05,0.029,0.031,0.018,0.01,0.006,0.002,0.002,0.002,0.007,0.004,0.003,0.004,0.004,0.007,0.004,0.004,0.002,0.004,0.001,0.001","0.015,0.015,0.046,0.071,0.124,0.101,0.086,0.124,0.086,0.078,0.058,0.051,0.035,0.029,0.016,0.012,0.01,0.005,0.008,0.004,0.005,0.004,0.005,0.002,0.001,0.003,0.002,0.002,0.001,0.001","0.009,0.013,0.039,0.065,0.077,0.093,0.108,0.095,0.086,0.077,0.072,0.077,0.04,0.043,0.024,0.019,0.011,0.018,0.011,0.006,0.003,0.002,0.002,0.001,0.005,0.001,0.0,0.002,0.0,0.001"
D01010_normalized.obj,City,4.92533,0.08359,0.04869,1.95932,0.14564,15.97544,"0.058,0.055,0.069,0.059,0.05,0.057,0.047,0.076,0.045,0.052,0.044,0.036,0.039,0.042,0.038,0.037,0.026,0.022,0.019,0.027,0.019,0.014,0.011,0.014,0.007,0.006,0.012,0.008,0.007,0.004","0.003,0.004,0.003,0.007,0.008,0.013,0.015,0.02,0.013,0.033,0.02,0.027,0.035,0.065,0.047,0.046,0.068,0.071,0.078,0.064,0.077,0.049,0.056,0.047,0.037,0.038,0.023,0.018,0.009,0.006","0.007,0.02,0.026,0.036,0.04,0.042,0.058,0.04,0.06,0.044,0.046,0.055,0.048,0.045,0.051,0.05,0.038,0.036,0.046,0.036,0.043,0.024,0.03,0.02,0.025,0.013,0.01,0.006,0.003,0.002","0.003,0.005,0.016,0.022,0.042,0.047,0.052,0.052,0.068,0.066,0.056,0.058,0.051,0.047,0.066,0.041,0.04,0.049,0.038,0.041,0.03,0.028,0.023,0.018,0.009,0.017,0.007,0.006,0.0,0.002","0.003,0.015,0.03,0.031,0.059,0.067,0.081,0.058,0.073,0.066,0.077,0.063,0.063,0.051,0.047,0.044,0.034,0.028,0.023,0.02,0.016,0.018,0.007,0.008,0.006,0.003,0.003,0.003,0.002,0.001"
D01018_normalized.obj,City,5.29589,0.03393,0.05103,1.77843,0.1834,13.00504,"0.025,0.051,0.064,0.08,0.067,0.075,0.061,0.052,0.057,0.049,0.046,0.035,0.036,0.039,0.032,0.021,0.032,0.022,0.023,0.011,0.017,0.013,0.019,0.017,0.014,0.011,0.008,0.01,0.008,0.005","0.008,0.036,0.063,0.057,0.079,0.106,0.107,0.082,0.091,0.126,0.073,0.038,0.029,0.031,0.017,0.01,0.012,0.007,0.005,0.001,0.005,0.004,0.001,0.005,0.003,0.0,0.003,0.0,0.0,0.001","0.012,0.026,0.045,0.06,0.06,0.074,0.071,0.079,0.079,0.064,0.084,0.069,0.045,0.045,0.041,0.033,0.027,0.02,0.014,0.013,0.01,0.009,0.005,0.007,0.002,0.001,0.002,0.001,0.001,0.001","0.004,0.015,0.024,0.037,0.056,0.062,0.083,0.088,0.084,0.077,0.068,0.074,0.067,0.047,0.051,0.043,0.024,0.026,0.01,0.014,0.016,0.007,0.006,0.007,0.003,0.003,0.001,0.002,0.0,0.001","0.004,0.01,0.024,0.04,0.046,0.055,0.061,0.088,0.081,0.098,0.069,0.076,0.07,0.057,0.046,0.042,0.035,0.024,0.021,0.022,0.01,0.008,0.004,0.001,0.002,0.002,0.001,0.001,0.001,0.001"
D01039_normalized.obj,City,2.24953,0.00315,0.0048,1.82301,0.01513,517.85131,"0.061,0.066,0.064,0.062,0.065,0.051,0.057,0.061,0.036,0.056,0.028,0.035,0.035,0.026,0.028,0.021,0.031,0.026,0.024,0.023,0.016,0.012,0.013,0.015,0.019,0.029,0.009,0.012,0.013,0.006","0.005,0.006,0.01,0.031,0.059,0.066,0.078,0.06,0.071,0.108,0.057,0.061,0.069,0.06,0.04,0.041,0.047,0.035,0.021,0.006,0.005,0.022,0.011,0.013,0.008,0.002,0.002,0.001,0.003,0.002","0.013,0.022,0.039,0.052,0.045,0.045,0.053,0.059,0.074,0.059,0.072,0.065,0.069,0.049,0.059,0.034,0.032,0.045,0.031,0.026,0.012,0.011,0.012,0.005,0.008,0.003,0.001,0.0,0.004,0.001","0.011,0.023,0.047,0.056,0.08,0.066,0.073,0.067,0.066,0.077,0.056,0.062,0.058,0.046,0.043,0.033,0.027,0.03,0.019,0.016,0.013,0.007,0.007,0.006,0.005,0.001,0.001,0.002,0.0,0.002","0.004,0.014,0.018,0.03,0.037,0.038,0.056,0.052,0.075,0.075,0.078,0.072,0.061,0.078,0.049,0.042,0.038,0.046,0.035,0.032,0.023,0.012,0.009,0.012,0.003,0.005,0.002,0.002,0.001,0.001"
D01056_normalized.obj,City,3.52311,0.07464,0.03427,1.67956,0.09975,23.63934,"0.062,0.054,0.058,0.053,0.048,0.057,0.063,0.044,0.065,0.046,0.048,0.031,0.036,0.035,0.037,0.024,0.029,0.028,0.02,0.018,0.022,0.013,0.015,0.015,0.022,0.019,0.008,0.013,0.009,0.008","0.018,0.007,0.007,0.009,0.006,0.007,0.019,0.012,0.014,0.026,0.059,0.031,0.051,0.059,0.123,0.053,0.059,0.131,0.1,0.057,0.05,0.035,0.017,0.003,0.028,0.004,0.001,0.007,0.0,0.007","0.021,0.031,0.029,0.034,0.036,0.036,0.04,0.034,0.044,0.04,0.04,0.051,0.037,0.044,0.046,0.052,0.056,0.049,0.066,0.043,0.043,0.046,0.021,0.02,0.023,0.008,0.002,0.002,0.003,0.003","0.014,0.025,0.035,0.032,0.04,0.05,0.074,0.056,0.049,0.049,0.038,0.054,0.049,0.03,0.04,0.034,0.04,0.032,0.05,0.035,0.038,0.031,0.03,0.026,0.016,0.013,0.009,0.005,0.003,0.003","0.005,0.028,0.044,0.06,0.069,0.086,0.087,0.074,0.069,0.082,0.066,0.071,0.053,0.053,0.032,0.037,0.021,0.014,0.013,0.008,0.008,0.001,0.004,0.003,0.001,0.004,0.002,0.0,0.001,0.004"
D01066_normalized.obj,City,3.78583,0.0057,0.0133,1.85345,0.03635,822.42959,"0.065,0.087,0.065,0.086,0.054,0.055,0.053,0.036,0.044,0.047,0.032,0.038,0.026,0.023,0.017,0.019,0.027,0.023,0.026,0.018,0.017,0.018,0.019,0.02,0.018,0.015,0.01,0.013,0.02,0.009","0.014,0.01,0.016,0.026,0.016,0.026,0.042,0.038,0.059,0.048,0.05,0.06,0.046,0.071,0.053,0.053,0.045,0.047,0.042,0.049,0.04,0.038,0.026,0.021,0.023,0.013,0.015,0.008,0.003,0.002","0.013,0.02,0.023,0.048,0.044,0.067,0.052,0.066,0.07,0.058,0.066,0.067,0.059,0.046,0.045,0.048,0.034,0.029,0.036,0.025,0.014,0.022,0.017,0.007,0.006,0.003,0.005,0.004,0.004,0.002","0.017,0.037,0.061,0.076,0.079,0.067,0.059,0.065,0.069,0.08,0.075,0.062,0.052,0.049,0.045,0.025,0.026,0.014,0.012,0.008,0.006,0.006,0.003,0.003,0.001,0.001,0.001,0.0,0.0,0.001","0.007,0.017,0.02,0.032,0.057,0.049,0.065,0.062,0.063,0.079,0.066,0.071,0.085,0.067,0.045,0.039,0.041,0.037,0.036,0.021,0.011,0.008,0.005,0.005,0.005,0.001,0.0,0.001,0.003,0.002"
D01068_normalized.obj,City,3.80017,0.02307,0.02865,1.72893,0.06085,61.54072,"0.044,0.073,0.069,0.064,0.074,0.077,0.059,0.047,0.04,0.043,0.039,0.038,0.035,0.039,0.027,0.023,0.024,0.017,0.015,0.019,0.023,0.018,0.011,0.012,0.014,0.012,0.017,0.013,0.007,0.007","0.008,0.012,0.013,0.022,0.019,0.022,0.02,0.029,0.037,0.028,0.048,0.053,0.068,0.048,0.053,0.045,0.062,0.063,0.063,0.04,0.05,0.046,0.043,0.027,0.018,0.017,0.015,0.016,0.007,0.008","0.006,0.021,0.033,0.038,0.042,0.049,0.046,0.062,0.056,0.057,0.063,0.053,0.052,0.056,0.05,0.056,0.036,0.033,0.039,0.03,0.035,0.022,0.029,0.006,0.01,0.007,0.006,0.003,0.002,0.002","0.004,0.013,0.019,0.036,0.04,0.046,0.077,0.059,0.072,0.06,0.075,0.05,0.077,0.057,0.06,0.042,0.041,0.037,0.032,0.025,0.022,0.011,0.014,0.008,0.01,0.005,0.004,0.002,0.0,0.002","0.005,0.011,0.016,0.026,0.049,0.047,0.075,0.059,0.08,0.082,0.093,0.087,0.082,0.065,0.056,0.038,0.035,0.028,0.018,0.009,0.009,0.008,0.004,0.004,0.006,0.005,0.001,0.0,0.001,0.001"
D01079_normalized.obj,City,5.20134,0.0099,0.03282,1.79984,0.07449,114.5363,"0.053,0.072,0.062,0.058,0.062,0.074,0.049,0.053,0.046,0.048,0.027,0.042,0.021,0.042,0.042,0.029,0.02,0.029,0.018,0.015,0.018,0.014,0.012,0.02,0.011,0.013,0.012,0.013,0.014,0.011","0.004,0.009,0.018,0.042,0.035,0.03,0.071,0.034,0.038,0.035,0.062,0.081,0.081,0.083,0.084,0.082,0.038,0.027,0.009,0.011,0.005,0.011,0.011,0.017,0.012,0.011,0.008,0.015,0.025,0.011","0.016,0.025,0.032,0.041,0.039,0.045,0.051,0.042,0.057,0.058,0.078,0.068,0.06,0.054,0.056,0.055,0.047,0.036,0.036,0.028,0.022,0.01,0.007,0.007,0.008,0.01,0.007,0.003,0.0,0.002","0.003,0.017,0.028,0.076,0.073,0.077,0.071,0.079,0.062,0.066,0.068,0.068,0.048,0.054,0.047,0.037,0.044,0.019,0.01,0.017,0.01,0.007,0.006,0.004,0.003,0.001,0.001,0.001,0.002,0.001","0.004,0.013,0.018,0.019,0.032,0.045,0.048,0.052,0.057,0.051,0.072,0.061,0.075,0.063,0.059,0.055,0.054,0.049,0.03,0.037,0.025,0.02,0.018,0.014,0.014,0.004,0.006,0.002,0.002,0.001"
D01090_normalized.obj,City,5.74879,0.01927,0.06457,1.79908,0.20953,226.45195,"0.065,0.064,0.063,0.073,0.078,0.051,0.059,0.051,0.044,0.046,0.036,0.038,0.042,0.025,0.03,0.021,0.024,0.023,0.024,0.02,0.014,0.026,0.012,0.006,0.019,0.009,0.012,0.015,0.005,0.005","0.008,0.007,0.022,0.019,0.034,0.06,0.056,0.041,0.039,0.033,0.05,0.043,0.065,0.075,0.042,0.055,0.062,0.061,0.051,0.039,0.023,0.032,0.028,0.019,0.011,0.014,0.006,0.001,0.003,0.001","0.016,0.016,0.027,0.052,0.037,0.048,0.061,0.062,0.054,0.072,0.057,0.068,0.066,0.064,0.044,0.059,0.048,0.046,0.024,0.021,0.013,0.014,0.014,0.008,0.003,0.0,0.002,0.001,0.002,0.001","0.016,0.022,0.039,0.057,0.067,0.058,0.08,0.056,0.077,0.057,0.061,0.061,0.051,0.051,0.054,0.035,0.03,0.026,0.02,0.02,0.015,0.013,0.01,0.009,0.006,0.002,0.004,0.002,0.0,0.001","0.007,0.01,0.017,0.037,0.041,0.048,0.07,0.08,0.074,0.077,0.068,0.071,0.075,0.06,0.059,0.063,0.04,0.026,0.021,0.013,0.014,0.008,0.007,0.005,0.003,0.002,0.0,0.003,0.0,0.001"
D01091_normalized.obj,City,2.30385,0.00748,0.00838,1.54046,0.02226,24.26009,"0.053,0.074,0.066,0.071,0.066,0.059,0.063,0.06,0.052,0.051,0.039,0.035,0.031,0.025,0.031,0.029,0.021,0.019,0.025,0.023,0.016,0.013,0.008,0.011,0.014,0.009,0.011,0.009,0.013,0.003","0.022,0.048,0.041,0.066,0.085,0.121,0.107,0.103,0.072,0.056,0.072,0.065,0.04,0.021,0.014,0.028,0.014,0.006,0.002,0.002,0.0,0.001,0.001,0.0,0.002,0.003,0.001,0.003,0.003,0.001","0.019,0.037,0.043,0.073,0.075,0.066,0.086,0.087,0.066,0.068,0.072,0.071,0.05,0.037,0.031,0.029,0.024,0.021,0.007,0.013,0.011,0.002,0.005,0.002,0.001,0.0,0.0,0.001,0.002,0.001","0.005,0.022,0.021,0.053,0.059,0.056,0.067,0.057,0.065,0.067,0.057,0.059,0.058,0.054,0.055,0.041,0.043,0.031,0.029,0.028,0.025,0.011,0.011,0.007,0.008,0.005,0.001,0.004,0.0,0.001","0.036,0.059,0.05,0.04,0.047,0.054,0.079,0.057,0.072,0.068,0.076,0.059,0.051,0.054,0.043,0.026,0.022,0.023,0.02,0.01,0.012,0.015,0.006,0.003,0.008,0.004,0.001,0.003,0.001,0.001"
D01092_normalized.obj,City,3.76508,0.10852,0.05793,1.85802,0.19752,31.12858,"0.044,0.051,0.059,0.067,0.061,0.054,0.042,0.067,0.05,0.055,0.042,0.04,0.036,0.044,0.027,0.051,0.029,0.016,0.032,0.017,0.022,0.019,0.016,0.01,0.009,0.01,0.009,0.006,0.009,0.006","0.002,0.005,0.002,0.005,0.003,0.006,0.018,0.058,0.042,0.05,0.052,0.046,0.048,0.07,0.094,0.093,0.108,0.084,0.086,0.064,0.034,0.006,0.008,0.007,0.003,0.002,0.002,0.001,0.0,0.001","0.011,0.017,0.033,0.028,0.017,0.03,0.026,0.035,0.047,0.047,0.046,0.044,0.048,0.059,0.039,0.039,0.053,0.058,0.044,0.054,0.051,0.035,0.023,0.031,0.031,0.02,0.015,0.011,0.005,0.003","0.001,0.003,0.01,0.019,0.03,0.042,0.047,0.062,0.055,0.057,0.058,0.056,0.067,0.053,0.053,0.044,0.047,0.057,0.057,0.048,0.037,0.03,0.021,0.016,0.018,0.007,0.001,0.001,0.002,0.001","0.003,0.009,0.012,0.011,0.021,0.034,0.043,0.046,0.038,0.057,0.055,0.057,0.074,0.061,0.064,0.068,0.056,0.052,0.042,0.04,0.037,0.026,0.026,0.02,0.015,0.012,0.008,0.005,0.005,0.003"
D01101_normalized.obj,City,1.42324,0.01505,0.00912,1.87565,0.0234,982.46036,"0.107,0.098,0.07,0.071,0.056,0.042,0.046,0.04,0.035,0.03,0.027,0.025,0.023,0.019,0.021,0.019,0.024,0.018,0.022,0.02,0.016,0.017,0.016,0.023,0.018,0.027,0.021,0.02,0.017,0.012","0.005,0.01,0.025,0.024,0.02,0.023,0.026,0.029,0.051,0.041,0.043,0.038,0.03,0.043,0.041,0.058,0.036,0.041,0.051,0.041,0.061,0.04,0.045,0.04,0.044,0.041,0.023,0.013,0.015,0.002","0.008,0.023,0.035,0.044,0.043,0.052,0.065,0.065,0.065,0.052,0.058,0.049,0.036,0.035,0.043,0.035,0.045,0.027,0.025,0.032,0.027,0.025,0.022,0.026,0.025,0.014,0.008,0.009,0.005,0.002","0.006,0.026,0.032,0.045,0.041,0.047,0.048,0.076,0.065,0.055,0.066,0.06,0.053,0.048,0.058,0.041,0.043,0.04,0.035,0.028,0.022,0.016,0.013,0.007,0.011,0.005,0.008,0.002,0.002,0.001","0.018,0.05,0.049,0.087,0.093,0.096,0.075,0.084,0.069,0.064,0.063,0.053,0.046,0.034,0.03,0.028,0.014,0.017,0.007,0.006,0.006,0.001,0.006,0.001,0.001,0.0,0.0,0.001,0.0,0.001"
D01103_normalized.obj,City,1.94558,0.1521,0.06678,1.89297,0.16213,139.10834,"0.076,0.086,0.09,0.081,0.073,0.053,0.04,0.038,0.039,0.03,0.037,0.024,0.025,0.027,0.023,0.023,0.029,0.019,0.017,0.017,0.019,0.018,0.018,0.013,0.022,0.017,0.02,0.009,0.009,0.008","0.007,0.031,0.009,0.014,0.022,0.025,0.027,0.02,0.031,0.046,0.035,0.039,0.034,0.036,0.048,0.067,0.028,0.06,0.064,0.068,0.079,0.042,0.041,0.041,0.027,0.017,0.016,0.012,0.006,0.008","0.023,0.027,0.034,0.045,0.033,0.049,0.05,0.073,0.069,0.057,0.054,0.051,0.045,0.03,0.032,0.032,0.026,0.034,0.03,0.023,0.029,0.036,0.033,0.03,0.016,0.014,0.012,0.006,0.004,0.003","0.004,0.006,0.016,0.04,0.056,0.05,0.062,0.069,0.066,0.068,0.059,0.067,0.049,0.051,0.053,0.046,0.031,0.039,0.039,0.027,0.018,0.016,0.022,0.016,0.011,0.008,0.006,0.001,0.002,0.002","0.002,0.009,0.012,0.02,0.039,0.038,0.042,0.058,0.07,0.081,0.073,0.063,0.076,0.081,0.064,0.056,0.053,0.031,0.031,0.035,0.015,0.015,0.012,0.005,0.004,0.005,0.006,0.002,0.0,0.002"
D01124_normalized.obj,City,3.98124,0.0901,0.06126,1.79558,0.11626,15.86675,"0.03,0.049,0.067,0.058,0.062,0.068,0.056,0.06,0.054,0.054,0.049,0.046,0.041,0.032,0.029,0.035,0.03,0.026,0.024,0.019,0.023,0.021,0.015,0.016,0.011,0.009,0.008,0.003,0.003,0.002","0.014,0.011,0.018,0.004,0.001,0.01,0.003,0.006,0.007,0.017,0.025,0.042,0.058,0.066,0.089,0.084,0.094,0.102,0.067,0.068,0.068,0.042,0.035,0.014,0.011,0.011,0.009,0.013,0.005,0.006","0.014,0.025,0.025,0.036,0.033,0.033,0.034,0.028,0.029,0.061,0.034,0.045,0.049,0.05,0.053,0.047,0.059,0.045,0.049,0.054,0.042,0.045,0.03,0.022,0.016,0.016,0.01,0.011,0.002,0.003","0.006,0.007,0.02,0.026,0.04,0.045,0.027,0.049,0.036,0.05,0.063,0.058,0.063,0.068,0.064,0.054,0.052,0.039,0.032,0.051,0.033,0.026,0.027,0.022,0.009,0.016,0.006,0.007,0.002,0.002","0.003,0.006,0.014,0.017,0.027,0.041,0.04,0.067,0.052,0.066,0.053,0.069,0.054,0.051,0.062,0.052,0.052,0.037,0.054,0.037,0.031,0.028,0.023,0.018,0.017,0.004,0.009,0.007,0.006,0.003"
